graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,job,cell,kernel,symmetry,params,scale,runtime_sec
block_circulant_n14,block_circulant,14,5,14,4.0,0.0,4.0,4.0,0.0,0.3076923076923076,0.3076923076923077,3,4,3,3,4,4,5.035667866327691,0.9510826604776952,True,14,0,1.6952182030724354,True,two_block ILS on O(m) distances,not_done,Z_2 × Z_7,numpy-openblas,data/adj/block_circulant_n14.npy,1,0,0,0,0,1,0,0,0,1,3a,"R(k,k)",generic,none,"{""n"": 14, ""m"": 7, ""score"": 4004.14}",local,
block_circulant_n34,block_circulant,34,7,34,20.0,0.0,20.0,20.0,0.0,0.6060606060606061,0.6060606060606061,,,6,6,5,5,8.16214483550918,16.507755332893993,True,1190,1326,1.6549417125915038,False,two_block ILS on O(m) distances,not_done,Z_2 × Z_17,numpy-openblas,data/adj/block_circulant_n34.npy,1,1,0,1,0,0,0,1,1,0,3a,"R(k,k)",generic,none,"{""n"": 34, ""m"": 17, ""score"": 1000000000.0}",local,
block_circulant_n74,block_circulant,74,8,74,44.0,0.0,44.0,44.0,0.0,0.602739726027397,0.6027397260273972,,,7,7,6,6,12.017214905040715,36.256702237695734,True,13542,-1,1.7125922128949782,False,two_block ILS on O(m) distances,not_done,Z_2 × Z_37,numpy-openblas,data/adj/block_circulant_n74.npy,1,0,1,1,0,0,1,0,1,1,3a,"R(k,k)",generic,none,"{""n"": 74, ""m"": 37, ""score"": 1000000000.0}",local,
circulant_r3_n5,circulant_r3,5,3,5,2.0,0.0,2.0,2.0,0.0,0.5,0.5,2,2,2,2,2,2,2.23606797749979,1.381966011250105,True,0,-1,1.7099759466766968,True,sum-free ILS in distance space O(n) vars,not_done,Z/5Z,numpy-openblas,data/adj/circulant_r3_n5.npy,1,0,0,1,0,0,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 5, ""S"": [1, 4], ""score"": 2.23606797749979}",local,
circulant_r3_n6,circulant_r3,6,4,6,2.0,0.0,2.0,2.0,0.0,0.39999999999999997,0.4,2,3,2,2,3,3,3.0,1.0,True,0,-1,1.5650845800732873,True,sum-free ILS in distance space O(n) vars,not_done,Z/6Z,numpy-openblas,data/adj/circulant_r3_n6.npy,1,0,0,0,1,0,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 6, ""S"": [1, 5], ""score"": 3.0}",local,
circulant_r3_n7,circulant_r3,7,4,7,2.0,0.0,2.0,2.0,0.0,0.3333333333333333,0.3333333333333333,2,3,2,2,3,3,3.317667207394095,0.753020396282533,True,0,-1,1.6265765616977856,True,sum-free ILS in distance space O(n) vars,not_done,Z/7Z,numpy-openblas,data/adj/circulant_r3_n7.npy,1,0,0,0,0,1,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 7, ""S"": [1, 6], ""score"": 3.317667207394095}",local,
circulant_r3_n8,circulant_r3,8,4,8,3.0,0.0,3.0,3.0,0.0,0.42857142857142855,0.42857142857142855,2,3,2,2,3,3,3.5672232497824488,2.0,True,0,-1,1.681792830507429,True,sum-free ILS in distance space O(n) vars,not_done,Z/8Z,numpy-openblas,data/adj/circulant_r3_n8.npy,1,0,0,1,0,0,1,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 8, ""S"": [1, 4, 7], ""score"": 3.5672232497824488}",local,
circulant_r3_n9,circulant_r3,9,5,9,2.0,0.0,2.0,2.0,0.0,0.25,0.25,2,4,2,2,4,4,4.360089581434065,0.46791111376204375,True,0,-1,1.5518455739153598,True,sum-free ILS in distance space O(n) vars,not_done,Z/9Z,numpy-openblas,data/adj/circulant_r3_n9.npy,0,1,0,0,0,0,1,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 9, ""S"": [2, 7], ""score"": 4.360089581434065}",local,
circulant_r3_n10,circulant_r3,10,5,10,2.0,0.0,2.0,2.0,0.0,0.22222222222222224,0.2222222222222222,2,4,2,2,4,4,4.47213595499958,0.0,True,0,-1,1.5848931924611136,True,sum-free ILS in distance space O(n) vars,not_done,Z/10Z,numpy-openblas,data/adj/circulant_r3_n10.npy,0,0,0,1,0,1,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 10, ""S"": [4, 6], ""score"": 4.47213595499958}",local,
circulant_r3_n11,circulant_r3,11,5,11,4.0,0.0,4.0,4.0,0.0,0.4,0.4,2,4,2,2,4,4,4.913157986174734,2.6021226108842077,True,0,-1,1.615394266202178,True,sum-free ILS in distance space O(n) vars,not_done,Z/11Z,numpy-openblas,data/adj/circulant_r3_n11.npy,1,0,0,1,0,0,1,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 11, ""S"": [1, 4, 7, 10], ""score"": 4.913157986174734}",local,
circulant_r3_n12,circulant_r3,12,5,12,4.0,0.0,4.0,4.0,0.0,0.3636363636363636,0.36363636363636365,2,4,2,2,4,4,5.142857142857143,3.0,True,0,-1,1.6437518295172258,True,sum-free ILS in distance space O(n) vars,not_done,Z/12Z,numpy-openblas,data/adj/circulant_r3_n12.npy,0,1,1,0,0,0,0,0,1,1,2c,"R(3,k)",fft,circulant,"{""n"": 12, ""S"": [2, 3, 9, 10], ""score"": 5.142857142857143}",local,
circulant_r3_n13,circulant_r3,13,5,13,4.0,0.0,4.0,4.0,0.0,0.3333333333333333,0.3333333333333333,2,4,2,2,4,4,5.181736625420594,2.6227971460270423,True,0,-1,1.6702776523348104,True,sum-free ILS in distance space O(n) vars,not_done,Z/13Z,numpy-openblas,data/adj/circulant_r3_n13.npy,0,1,1,0,0,0,0,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 13, ""S"": [2, 3, 10, 11], ""score"": 5.181736625420594}",local,
circulant_r3_n14,circulant_r3,14,6,14,4.0,0.0,4.0,4.0,0.0,0.3076923076923076,0.3076923076923077,2,5,2,2,5,5,6.055517563524864,2.307978528369904,True,0,-1,1.5524632891554087,True,sum-free ILS in distance space O(n) vars,not_done,Z/14Z,numpy-openblas,data/adj/circulant_r3_n14.npy,1,0,0,1,0,0,0,0,0,1,2c,"R(3,k)",fft,circulant,"{""n"": 14, ""S"": [1, 4, 10, 13], ""score"": 6.055517563524864}",local,
circulant_r3_n15,circulant_r3,15,7,15,4.0,0.0,4.0,4.0,0.0,0.28571428571428564,0.2857142857142857,2,6,2,2,6,6,6.7082039324993685,2.381966011250105,True,0,-1,1.4723567001803468,True,sum-free ILS in distance space O(n) vars,not_done,Z/15Z,numpy-openblas,data/adj/circulant_r3_n15.npy,1,0,0,1,0,0,0,0,0,0,2c,"R(3,k)",fft,circulant,"{""n"": 15, ""S"": [1, 4, 11, 14], ""score"": 6.7082039324993685}",local,
