graph_id,construction_type,N,k_target,provenance_seed,degree_mean,degree_std,degree_min,degree_max,degree_kurtosis,centrality_mean,edge_algebraic_label_mean,omega_exact,alpha_exact,omega_lower,omega_upper,alpha_lower,alpha_upper,theta_approx,spectral_gap,is_k_free,triangles,k4,n_1_over_k,exact,gpu_kernel,run001,field,device,adj_matrix_path,algebraic_residue_vec_0,algebraic_residue_vec_1,algebraic_residue_vec_2,algebraic_residue_vec_3,algebraic_residue_vec_4,algebraic_residue_vec_5,algebraic_residue_vec_6,algebraic_residue_vec_7,algebraic_residue_vec_8,algebraic_residue_vec_9,runtime_sec,params
paley_prime_p5,paley_prime,5,3,5,2.0,0.0,2.0,2.0,0.0,0.5,0.5,2,2,2,2,2,2,2.2360679774997907,1.381966011250103,True,0,0,1.7099759466766968,True,outer_diff + euler_legendre,done,F_5,numpy-openblas,data/adj/paley_prime_p5.npy,1,0,0,1,0,0,0,0,0,0,0.0005,"{""p"": 5}"
paley_prime_p13,paley_prime,13,4,13,6.0,0.0,6.0,6.0,0.0,0.5,0.5,3,3,3,3,3,3,3.605551275463989,4.697224362268007,True,26,0,1.8988289221159418,True,outer_diff + euler_legendre,done,F_13,numpy-openblas,data/adj/paley_prime_p13.npy,1,0,1,1,0,0,0,0,1,1,0.0005,"{""p"": 13}"
paley_prime_p17,paley_prime,17,4,17,8.0,0.0,8.0,8.0,0.0,0.5,0.5,3,3,3,3,3,3,4.123105625617663,6.438447187191167,True,68,0,2.0305431848689306,True,outer_diff + euler_legendre,done,F_17,numpy-openblas,data/adj/paley_prime_p17.npy,1,1,0,1,0,0,0,1,1,0,0.0006,"{""p"": 17}"
paley_prime_p29,paley_prime,29,6,29,14.0,0.0,14.0,14.0,0.0,0.5,0.5,,,4,5,4,5,5.385164807134511,11.807417596432739,True,406,203,1.7528025632357591,False,outer_diff + euler_legendre,done,F_29,numpy-openblas,data/adj/paley_prime_p29.npy,1,0,0,1,1,1,1,0,1,0,0.0007,"{""p"": 29}"
paley_prime_p37,paley_prime,37,7,37,18.0,0.0,18.0,18.0,0.0,0.5,0.5,,,4,6,4,6,6.082762530298226,15.45861873485088,True,888,555,1.6750540209862346,False,outer_diff + euler_legendre,done,F_37,numpy-openblas,data/adj/paley_prime_p37.npy,1,0,1,1,0,0,1,0,1,1,0.0009,"{""p"": 37}"
paley_prime_p41,paley_prime,41,7,41,20.0,0.0,20.0,20.0,0.0,0.5,0.5,,,5,6,5,6,6.403124237432854,17.298437881283572,True,1230,1025,1.6997994869342874,False,outer_diff + euler_legendre,done,F_41,numpy-openblas,data/adj/paley_prime_p41.npy,1,1,0,1,1,0,0,1,1,1,0.0011,"{""p"": 41}"
paley_prime_p53,paley_prime,53,8,53,26.0,0.0,26.0,26.0,0.0,0.5,0.5,,,5,7,5,7,7.280109889280531,22.859945055359724,True,2756,-1,1.6426100804536923,False,outer_diff + euler_legendre,done,F_53,numpy-openblas,data/adj/paley_prime_p53.npy,1,0,0,1,0,1,1,0,1,1,0.0004,"{""p"": 53}"
paley_prime_p61,paley_prime,61,8,61,30.0,0.0,30.0,30.0,0.0,0.5,0.5,,,5,7,5,7,7.810249675906662,26.594875162046662,True,4270,-1,1.6717303588411743,False,outer_diff + euler_legendre,done,F_61,numpy-openblas,data/adj/paley_prime_p61.npy,1,0,1,1,1,0,0,0,1,0,0.0004,"{""p"": 61}"
paley_prime_p73,paley_prime,73,9,73,36.0,0.0,36.0,36.0,0.0,0.5,0.5,,,5,8,5,8,8.544003745317545,32.22799812734121,True,7446,-1,1.610778682311281,False,outer_diff + euler_legendre,done,F_73,numpy-openblas,data/adj/paley_prime_p73.npy,1,1,1,1,0,1,0,1,1,0,0.0005,"{""p"": 73}"
paley_prime_p89,paley_prime,89,10,89,44.0,0.0,44.0,44.0,0.0,0.5,0.5,,,5,9,5,9,9.43398113205662,39.783009433971735,True,13706,-1,1.5665310257218434,False,outer_diff + euler_legendre,done,F_89,numpy-openblas,data/adj/paley_prime_p89.npy,1,1,0,1,1,0,0,1,1,1,0.0006,"{""p"": 89}"
